[2025-08-25 10:52:00] EDIT | rowid=0 | column=Calibration Due date | value=26-Aug-25
[2025-08-27 09:37:51] EDIT | rowid=91 | column=Maintenance planning | value=28-Aug-25
[2025-08-27 09:37:56] EDIT | rowid=91 | column=Maintenance planning | value=28-Aug-25
[2025-08-27 09:43:30] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 09:43:32] COLOR | rowid=0 | column=Equipment Identification | value=#FF0000
[2025-08-27 09:44:12] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 09:44:27] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 09:44:28] COLOR | rowid=0 | column=Equipment Identification | value=#FFFFFF
[2025-08-27 09:44:29] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 09:44:42] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 09:44:43] COLOR | rowid=0 | column=Equipment Identification | value=#FF0000
[2025-08-27 09:44:53] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 09:44:54] COLOR | rowid=0 | column=Equipment Identification | value=#FFFFFF
[2025-08-27 09:46:19] EDIT | rowid=91 | column=Calibration Due date | value=N/A
[2025-08-27 09:46:20] COLOR | rowid=91 | column=Calibration Due date | value=#00FF00
[2025-08-27 09:46:22] EDIT | rowid=91 | column=Maintenance planning | value=28-Aug-25
[2025-08-27 09:46:24] EDIT | rowid=91 | column=Maintenance planning | value=28-Aug-25
[2025-08-27 09:46:26] COLOR | rowid=91 | column=Maintenance planning | value=#00FF00
[2025-08-27 09:47:26] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 09:52:48] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 10:04:54] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 10:45:06] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 10:45:07] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
[2025-08-27 10:45:09] EDIT | rowid=0 | column=Equipment Identification | value=RELTSR_0013
